Product ID,Variant ID,Handle,Title,Original Price,Discounted Price,Discount %,Category
7333498683593,40424793505993,samsung-flipsuit-case-for-galaxy-s25,Samsung Flipsuit Case for Galaxy S25,75.99,75.99,0,ACCESSORIES
7333498650825,40424793473225,samsung-flipsuit-case-for-galaxy-s25-ultra,Samsung Flipsuit Case for Galaxy S25 Ultra,67.0,67.0,0,ACCESSORIES
7333497241801,40424792064201,vinyl-stereolab-transient-random-noise-bursts-with-announcements-vinyl-2lp,Transient Random-Noise Bursts With Announcements (Vinyl),83.99,83.99,0,MUSIC
7333497209033,40424792031433,vinyl-stereolab-sound-dust-vinyl-2lp,Sound Dust (Vinyl),83.99,83.99,0,MUSIC
7333497176265,40424791998665,vinyl-stereolab-mars-audiac-quintet-vinyl-2lp,Mars Audiac Quintet (Vinyl),83.99,83.99,0,MUSIC
7333497143497,40424791965897,vinyl-stereolab-margarine-eclipse-vinyl-2lp,Margarine Eclipse (Vinyl),83.99,83.99,0,MUSIC
7333497110729,40424791933129,vinyl-stereolab-emperor-tomato-ketchup-vinyl-2lp,Emperor Tomato Ketchup (Vinyl),83.99,83.99,0,MUSIC
7333497077961,40424791900361,vinyl-stereolab-dots-and-loops-vinyl-2lp,Dots And Loops (Vinyl),83.99,83.99,0,MUSIC
7333497045193,40424791867593,vinyl-stereolab-cobras-and-group-play-voltage-in-the-milky-night-vinyl-2lp,Cobras And Group Play Voltage In The Milky Night (Vinyl),83.99,83.99,0,MUSIC
7333496979657,40424791802057,cd-circuit-des-yeux-halo-on-the-inside-cd,Halo On The Inside,26.99,26.99,0,MUSIC
7333366726857,40424660173001,under-the-vines-series-3-2024-dvd,Under the Vines - Series 3,34.98,17.49,50.0,MOVIES
7333496684745,40424791507145,cd-easy-star-all-stars-radiodread-special-edition-cd,Radiodread (Special Edition),24.99,24.99,0,MUSIC
7333496389833,40424791212233,samsung-ultra-rugged-case-for-galaxy-s25-ultra-black,Samsung Ultra Rugged Case for Galaxy S25 Ultra (Black),79.99,79.99,0,ACCESSORIES
7333496324297,40424791146697,samsung-silicone-case-for-galaxy-s25-black-1,Samsung Silicone Case for Galaxy S25+ (Black),45.99,45.99,0,ACCESSORIES
7333496258761,40424791081161,samsung-silicone-case-for-galaxy-s25-black,Samsung Silicone Case for Galaxy S25 (Black),45.99,45.99,0,ACCESSORIES
7333496127689,40424790950089,samsung-kindsuit-case-for-galaxy-s25-black-1,Samsung Kindsuit Case for Galaxy S25+ (Black),95.99,95.99,0,ACCESSORIES
7333495144649,40424789967049,samsung-silicone-case-for-galaxy-s25-ultra-grey,Samsung Silicone Case for Galaxy S25 Ultra (Grey),45.99,45.99,0,ACCESSORIES
7333494259913,40424789082313,samsung-standing-grip-case-for-galaxy-s25-black,Samsung Standing Grip Case for Galaxy S25 (Black),85.99,85.99,0,ACCESSORIES
7333494587593,40424789409993,samsung-standing-grip-case-for-galaxy-s25-black-1,Samsung Standing Grip Case for Galaxy S25+ (Black),85.99,85.99,0,ACCESSORIES
7333493047497,40424787869897,samsung-magnetic-case-for-galaxy-s25-clear-1,Samsung Magnetic Case for Galaxy S25  (Clear),59.99,59.99,0,ACCESSORIES
7333493080265,40424787902665,samsung-magnetic-case-for-galaxy-s25-clear,Samsung Magnetic Case for Galaxy S25+  (Clear),59.99,59.99,0,ACCESSORIES
7333494653129,40424789475529,samsung-standing-grip-case-for-galaxy-s25-ultra-black,Samsung Standing Grip Case for Galaxy S25 Ultra (Black),85.99,85.99,0,ACCESSORIES
7333494685897,40424789508297,samsung-standing-grip-case-for-galaxy-s25-ultra-grey,Samsung Standing Grip Case for Galaxy S25 Ultra (Grey),85.99,85.99,0,ACCESSORIES
7333494882505,40424789704905,samsung-silicone-case-for-galaxy-s25-light-blue,Samsung Silicone Case for Galaxy S25 (Light Blue),45.99,45.99,0,ACCESSORIES
7333494489289,40424789311689,powerwave-wireless-controller-for-nintendo-switch-brilliant-blue,Powerwave Wireless Controller for Nintendo Switch (Brilliant Blue),35.0,35.0,0,GAMES HARDWARE
7333494096073,40424788918473,samsung-kindsuit-case-for-galaxy-s25-ultra-black,Samsung Kindsuit Case for Galaxy S25 Ultra (Black),95.99,95.99,0,ACCESSORIES
7333493276873,40424788099273,samsung-kindsuit-case-for-galaxy-s25-black,Samsung Kindsuit Case for Galaxy S25 (Black),95.99,95.99,0,ACCESSORIES
7210695983178,40369448648778,cd-morissette-alanis-the-storm-before-the-calm-cd,The Storm Before The Calm,26.99,26.99,0,MUSIC
7333493211337,40424788033737,cd-mitski-puberty-2-cd,Puberty 2,29.99,29.99,0,MUSIC
7328270909514,40417651785802,cd-miss-june-bad-luck-party-cd,Bad Luck Party,23.99,23.99,0,MUSIC
7204373037130,40365370441802,vinyl-led-zeppelin-presence-2015-vinyl-reissue-lp,Presence (2015 Vinyl Reissue),89.99,89.99,0,MUSIC
7255893606474,40402616090698,vinyl-led-zeppelin-physical-graffiti-2015-vinyl-reissue-2lp,Physical Graffiti (2015 Vinyl Reissue),97.99,97.99,0,MUSIC
7255835312202,40402591809610,cd-led-zeppelin-led-zeppelin-2-2014-reissue-cd,Led Zeppelin 2 (2014 Reissue),18.99,18.99,0,MUSIC
7333492981961,40424787804361,cd-smiths-the-the-sound-of-the-smiths-2cd-2cd,The Sound Of The Smiths 2CD,29.99,29.99,0,MUSIC
7333492949193,40424787771593,cd-smiths-the-the-world-wont-listen-cd,The World Won't Listen,24.99,24.99,0,MUSIC
7333492916425,40424787738825,cd-smiths-the-rank-cd,Rank,24.99,24.99,0,MUSIC
7333492883657,40424787706057,cd-smiths-the-louder-than-bombs-cd,Louder Than Bombs,24.99,24.99,0,MUSIC
7333492850889,40424787673289,cd-smiths-the-hatful-of-hollow-cd,Hatful Of Hollow,24.99,24.99,0,MUSIC
7333492818121,40424787640521,cd-smiths-the-the-queen-is-dead-cd,The Queen Is Dead,24.99,24.99,0,MUSIC
7333492785353,40424787607753,cd-smiths-the-strangeways-here-we-come-cd-1,"Strangeways, Here We Come",24.99,24.99,0,MUSIC
7333492752585,40424787574985,cd-smiths-the-the-sound-of-the-smiths-cd-1,The Sound Of The Smiths,24.99,24.99,0,MUSIC
7333492719817,40424787542217,cd-smiths-the-meat-is-murder-cd,Meat Is Murder,24.99,24.99,0,MUSIC
7333490983113,40424785805513,care-by-panzerglass-3-in-1-protection-pack-for-samsung-galaxy-s25-ultra,CARE by PanzerGlass 3-in-1 Protection Pack for Samsung Galaxy S25 Ultra,100.99,100.99,0,ACCESSORIES
7333488918729,40424783839433,3sixt-pureflex-case-for-samsung-galaxy-s25-clear-1,3sixT PureFlex+ Case for Samsung Galaxy S25+ (Clear),50.99,50.99,0,ACCESSORIES
7333488853193,40424783773897,3sixt-prismshield-essential-glass-screen-protector-for-samsung-galaxy-s25,3sixT PrismShield Essential Glass Screen Protector for Samsung Galaxy S25+,17.0,17.0,0,ACCESSORIES
7333469061321,40424764014793,samsung-galaxy-s25-256gb-navy,Samsung Galaxy S25 256GB (Navy),1379.0,1379.0,0,COMMUNICATIONS
7333469552841,40424764539081,samsung-galaxy-s25-ultra-256gb-titanium-black,Samsung Galaxy S25 Ultra 256GB (Titanium Black),1849.0,1849.0,0,COMMUNICATIONS
